id,total_rooms,total_bedrooms,households,median_house_value,city
12461,5298.0,954.0,918.0,155700.0,Sacramento
12462,2507.0,446.0,448.0,163700.0,Sacramento
12463,1878.0,338.0,342.0,161400.0,Sacramento
12464,1806.0,339.0,341.0,147100.0,Sacramento
12465,2443.0,476.0,457.0,142000.0,Sacramento
12466,3080.0,545.0,495.0,164500.0,Sacramento
12467,2334.0,435.0,446.0,148800.0,Sacramento
12468,2314.0,415.0,388.0,153900.0,Sacramento
12469,1962.0,356.0,362.0,147900.0,Sacramento
12470,4408.0,807.0,777.0,181600.0,Sacramento
12471,1394.0,397.0,353.0,109800.0,Sacramento
12472,2092.0,555.0,528.0,115100.0,Sacramento
12473,3807.0,952.0,850.0,137500.0,Sacramento
12474,2035.0,483.0,459.0,109300.0,Sacramento
12475,576.0,146.0,127.0,94300.0,Sacramento
12476,2434.0,744.0,662.0,140600.0,Sacramento
12477,2151.0,664.0,603.0,90300.0,Sacramento
12478,1186.0,341.0,320.0,70500.0,Sacramento
12479,463.0,180.0,190.0,85000.0,Sacramento
12480,1000.0,324.0,250.0,168800.0,Sacramento
12481,761.0,306.0,295.0,162500.0,Sacramento
12482,4018.0,1220.0,1122.0,125000.0,Sacramento
12483,745.0,175.0,160.0,77500.0,Sacramento
12484,569.0,405.0,367.0,137500.0,Sacramento
12485,1823.0,566.0,503.0,137500.0,Sacramento
12486,2438.0,804.0,747.0,141700.0,Sacramento
12487,567.0,193.0,187.0,187500.0,Sacramento
12488,1334.0,492.0,421.0,93800.0,Sacramento
12489,2410.0,967.0,829.0,87900.0,Sacramento
12490,1360.0,368.0,338.0,150000.0,Sacramento
12491,3136.0,926.0,877.0,123900.0,Sacramento
12492,2809.0,805.0,785.0,114100.0,Sacramento
12493,438.0,103.0,99.0,200000.0,Sacramento
12494,3233.0,968.0,837.0,168100.0,Sacramento
12495,2501.0,757.0,708.0,157500.0,Sacramento
12496,2006.0,412.0,384.0,236100.0,Sacramento
12497,3170.0,476.0,457.0,233800.0,Sacramento
12498,1750.0,372.0,369.0,111800.0,Sacramento
12499,810.0,172.0,151.0,140000.0,Sacramento
12500,893.0,159.0,160.0,213200.0,Sacramento
12501,1917.0,367.0,358.0,158900.0,Sacramento
12502,1625.0,419.0,383.0,156700.0,Sacramento
12503,1105.0,227.0,210.0,131700.0,Sacramento
12504,2423.0,466.0,438.0,131900.0,Sacramento
12505,906.0,165.0,166.0,139400.0,Sacramento
12506,1533.0,288.0,257.0,125900.0,Sacramento
12507,1316.0,244.0,245.0,137800.0,Sacramento
12508,3994.0,635.0,625.0,232500.0,Sacramento
12509,3420.0,555.0,530.0,173800.0,Sacramento
12510,182.0,39.0,43.0,98900.0,Sacramento
12511,3514.0,714.0,656.0,100100.0,Sacramento
12512,3374.0,808.0,753.0,77600.0,Sacramento
12513,1878.0,393.0,381.0,122800.0,Sacramento
12514,1250.0,235.0,232.0,121200.0,Sacramento
12515,1698.0,383.0,386.0,97000.0,Sacramento
12516,889.0,162.0,145.0,85600.0,Sacramento
12517,907.0,180.0,177.0,104000.0,Sacramento
12518,3126.0,648.0,558.0,84100.0,Sacramento
12519,2094.0,463.0,407.0,68500.0,Sacramento
12520,1091.0,403.0,336.0,65400.0,Sacramento
12521,1532.0,408.0,369.0,85900.0,Sacramento
12522,2083.0,559.0,524.0,95800.0,Sacramento
12523,1986.0,573.0,490.0,88100.0,Sacramento
12524,1151.0,263.0,258.0,113600.0,Sacramento
12525,1476.0,344.0,353.0,134700.0,Sacramento
12526,1145.0,324.0,288.0,114300.0,Sacramento
12527,900.0,239.0,231.0,87500.0,Sacramento
12528,1521.0,457.0,455.0,86900.0,Sacramento
12529,1492.0,385.0,365.0,108800.0,Sacramento
12530,1124.0,344.0,316.0,94600.0,Sacramento
12531,1375.0,351.0,321.0,87500.0,Sacramento
12532,613.0,166.0,147.0,93800.0,Sacramento
12533,858.0,254.0,200.0,80000.0,Sacramento
12534,2646.0,645.0,616.0,123100.0,Sacramento
12535,1048.0,312.0,294.0,137500.0,Sacramento
12536,3032.0,631.0,597.0,137900.0,Sacramento
12537,1485.0,278.0,291.0,137200.0,Sacramento
12538,1844.0,392.0,353.0,103500.0,Sacramento
12539,2515.0,460.0,442.0,151100.0,Sacramento
12540,2784.0,455.0,448.0,209800.0,Sacramento
12541,1777.0,368.0,350.0,137800.0,Sacramento
12542,2313.0,536.0,442.0,123000.0,Sacramento
12543,1145.0,133.0,138.0,405800.0,Sacramento
12544,4280.0,632.0,621.0,224100.0,Sacramento
12545,4094.0,634.0,659.0,236800.0,Sacramento
12546,1167.0,201.0,209.0,179800.0,Sacramento
12547,2508.0,360.0,345.0,228700.0,Sacramento
12548,2037.0,358.0,375.0,162500.0,Sacramento
12549,1587.0,448.0,380.0,94300.0,Sacramento
12550,1684.0,309.0,296.0,175000.0,Sacramento
12551,2216.0,333.0,327.0,191900.0,Sacramento
12552,814.0,216.0,181.0,125000.0,Sacramento
12553,968.0,310.0,274.0,65400.0,Sacramento
12554,1303.0,308.0,263.0,55800.0,Sacramento
12555,2085.0,464.0,402.0,56700.0,Sacramento
12556,979.0,287.0,291.0,67000.0,Sacramento
12557,1384.0,295.0,244.0,94600.0,Sacramento
12558,1159.0,250.0,244.0,56000.0,Sacramento
12559,1278.0,308.0,280.0,58300.0,Sacramento
12560,1001.0,205.0,175.0,58200.0,Sacramento
12561,2077.0,435.0,385.0,57000.0,Sacramento
12562,1407.0,265.0,235.0,108000.0,Sacramento
12563,2084.0,417.0,410.0,92700.0,Sacramento
12564,1879.0,359.0,345.0,101500.0,Sacramento
12565,2570.0,509.0,503.0,92400.0,Sacramento
12566,3421.0,734.0,727.0,86600.0,Sacramento
12567,2525.0,501.0,468.0,87600.0,Sacramento
12568,2358.0,493.0,470.0,94300.0,Sacramento
12569,3321.0,688.0,658.0,101300.0,Sacramento
12570,2855.0,,562.0,93600.0,Sacramento
12571,2518.0,501.0,471.0,75700.0,Sacramento
12572,2061.0,371.0,342.0,79000.0,Sacramento
12573,1058.0,224.0,231.0,72100.0,Sacramento
12574,1958.0,367.0,366.0,71200.0,Sacramento
12575,1581.0,288.0,291.0,71800.0,Sacramento
12576,1488.0,294.0,279.0,82700.0,Sacramento
12577,2430.0,426.0,437.0,81900.0,Sacramento
12578,1951.0,432.0,411.0,80600.0,Sacramento
12579,3087.0,720.0,708.0,66800.0,Sacramento
12580,3249.0,666.0,663.0,87800.0,Sacramento
12581,2828.0,556.0,485.0,72600.0,Sacramento
12582,2089.0,399.0,385.0,72100.0,Sacramento
12583,3657.0,945.0,899.0,78300.0,Sacramento
12584,2080.0,388.0,380.0,76600.0,Sacramento
12585,3184.0,593.0,572.0,192000.0,Sacramento
12586,3642.0,684.0,657.0,114300.0,Sacramento
12587,1613.0,265.0,266.0,191900.0,Sacramento
12588,2603.0,408.0,419.0,216600.0,Sacramento
12589,2008.0,466.0,427.0,59100.0,Sacramento
12590,2918.0,439.0,427.0,171300.0,Sacramento
12591,1595.0,217.0,236.0,251600.0,Sacramento
12592,3236.0,588.0,569.0,181400.0,Sacramento
12593,1451.0,315.0,340.0,101600.0,Sacramento
12594,2966.0,536.0,505.0,130600.0,Sacramento
12595,1655.0,393.0,355.0,78400.0,Sacramento
12596,1378.0,280.0,280.0,103900.0,Sacramento
12597,1824.0,357.0,356.0,96400.0,Sacramento
12598,1902.0,413.0,384.0,96800.0,Sacramento
12599,1468.0,281.0,271.0,124200.0,Sacramento
12600,3364.0,685.0,626.0,73500.0,Sacramento
12601,1704.0,361.0,356.0,62300.0,Sacramento
12602,2099.0,510.0,483.0,52500.0,Sacramento
12603,3215.0,725.0,625.0,54400.0,Sacramento
12604,543.0,146.0,125.0,65400.0,Sacramento
12605,700.0,169.0,128.0,152900.0,Sacramento
12606,2364.0,439.0,449.0,84500.0,Sacramento
12607,1715.0,271.0,263.0,87900.0,Sacramento
12608,2049.0,330.0,309.0,98500.0,Sacramento
12609,3166.0,607.0,579.0,79500.0,Sacramento
12610,2815.0,479.0,471.0,164800.0,Sacramento
12611,3089.0,585.0,561.0,160300.0,Sacramento
12612,3377.0,623.0,594.0,171200.0,Sacramento
12613,6876.0,1456.0,1386.0,156900.0,Sacramento
12614,4426.0,790.0,761.0,158300.0,Sacramento
12615,4719.0,745.0,739.0,180200.0,Sacramento
12616,5490.0,851.0,837.0,216800.0,Sacramento
12617,4868.0,738.0,750.0,204600.0,Sacramento
12618,6093.0,1051.0,997.0,183600.0,Sacramento
12619,8482.0,1590.0,1513.0,217900.0,Sacramento
12620,3087.0,477.0,495.0,216800.0,Sacramento
12621,6132.0,1324.0,1174.0,178900.0,Sacramento
12622,4900.0,805.0,855.0,184400.0,Sacramento

12624,3344.0,800.0,670.0,152800.0,Sacramento
12625,9104.0,1535.0,1481.0,174500.0,Sacramento
12626,2561.0,497.0,530.0,95800.0,Sacramento
12627,979.0,201.0,205.0,72300.0,Sacramento
12628,2679.0,792.0,659.0,70300.0,Sacramento
12629,1557.0,301.0,300.0,77700.0,Sacramento
12630,3606.0,690.0,696.0,78200.0,Sacramento
12631,4013.0,725.0,675.0,83400.0,Sacramento
12632,3165.0,806.0,752.0,78600.0,Sacramento
12633,4629.0,832.0,816.0,74600.0,Sacramento
12634,3595.0,790.0,770.0,78800.0,Sacramento
12635,2969.0,551.0,487.0,76200.0,Sacramento
12636,6121.0,1185.0,1105.0,68000.0,Sacramento
12637,2359.0,462.0,476.0,67300.0,Sacramento
12638,1865.0,384.0,354.0,60500.0,Sacramento
12639,1746.0,388.0,315.0,69900.0,Sacramento
12640,1893.0,415.0,395.0,75400.0,Sacramento
12641,1717.0,354.0,306.0,87000.0,Sacramento
12642,1453.0,324.0,281.0,63900.0,Sacramento
12644,1825.0,411.0,391.0,55700.0,Sacramento
12645,2177.0,638.0,560.0,66800.0,Sacramento
12648,1895.0,424.0,417.0,137500.0,Sacramento
12650,2316.0,515.0,522.0,60400.0,Sacramento
12651,3446.0,950.0,847.0,69700.0,Sacramento
12661,7901.0,1422.0,1418.0,90400.0,Sacramento
12663,10211.0,1995.0,1752.0,107900.0,Sacramento
12666,2780.0,510.0,533.0,103100.0,Sacramento
12667,4602.0,930.0,860.0,90500.0,Sacramento
12668,4929.0,1010.0,870.0,109800.0,Sacramento
12669,1766.0,340.0,372.0,98700.0,Sacramento
12670,3593.0,659.0,530.0,93100.0,Sacramento
12675,1808.0,375.0,320.0,92000.0,Sacramento
12676,2066.0,748.0,734.0,55000.0,Sacramento
12677,8507.0,1470.0,1453.0,137400.0,Sacramento
12678,2790.0,430.0,460.0,133700.0,Sacramento
12679,1532.0,264.0,285.0,130900.0,Sacramento
12680,2171.0,431.0,422.0,126200.0,Sacramento
12681,1734.0,467.0,447.0,154300.0,Sacramento
12682,2697.0,398.0,389.0,142500.0,Sacramento
12683,2534.0,705.0,583.0,156300.0,Sacramento
12684,2497.0,494.0,442.0,142400.0,Sacramento
12685,152.0,30.0,35.0,67500.0,Sacramento
12686,987.0,240.0,237.0,82100.0,Sacramento
12687,88.0,21.0,19.0,67500.0,Sacramento
12688,2987.0,864.0,755.0,137500.0,Sacramento
12689,7228.0,1369.0,1365.0,179500.0,Sacramento
12692,2022.0,295.0,278.0,297600.0,Sacramento
12693,4429.0,1124.0,960.0,190700.0,Sacramento
12694,2623.0,357.0,368.0,327800.0,Sacramento
12695,3713.0,1078.0,1018.0,89600.0,Sacramento
12696,1166.0,193.0,190.0,102800.0,Sacramento
12697,1327.0,209.0,230.0,111400.0,Sacramento
12698,2289.0,576.0,503.0,95700.0,Sacramento
12699,172.0,38.0,55.0,55000.0,Sacramento
12745,4563.0,1069.0,926.0,143400.0,Sacramento
12766,3171.0,832.0,695.0,88600.0,Sacramento
12767,1126.0,256.0,243.0,84400.0,Sacramento
12768,1134.0,252.0,249.0,65200.0,Sacramento
12769,1087.0,272.0,219.0,64900.0,Sacramento
12770,1385.0,273.0,274.0,78000.0,Sacramento
12771,1009.0,225.0,218.0,67000.0,Sacramento
12772,2217.0,536.0,507.0,73100.0,Sacramento
12773,1765.0,438.0,382.0,73000.0,Sacramento
12774,1404.0,313.0,330.0,63300.0,Sacramento
12777,1720.0,382.0,362.0,60500.0,Sacramento
12778,1728.0,367.0,349.0,58500.0,Sacramento
12779,2274.0,495.0,445.0,49800.0,Sacramento
12780,909.0,198.0,176.0,77400.0,Sacramento
12781,2010.0,411.0,422.0,65900.0,Sacramento
12782,1756.0,442.0,320.0,70500.0,Sacramento
12783,1678.0,367.0,307.0,62100.0,Sacramento
12784,1219.0,240.0,212.0,122200.0,Sacramento
12785,1673.0,399.0,382.0,62200.0,Sacramento
12786,1077.0,271.0,236.0,55900.0,Sacramento
12787,1402.0,370.0,382.0,71000.0,Sacramento
12788,1607.0,385.0,354.0,64700.0,Sacramento
12789,3009.0,733.0,588.0,61000.0,Sacramento
12790,2680.0,502.0,498.0,110000.0,Sacramento
12791,3746.0,767.0,744.0,103400.0,Sacramento
12792,3167.0,551.0,533.0,92600.0,Sacramento
12793,1481.0,343.0,315.0,60600.0,Sacramento
12794,1517.0,323.0,328.0,67000.0,Sacramento
12795,3185.0,658.0,626.0,67600.0,Sacramento
12796,1246.0,295.0,258.0,51700.0,Sacramento
12797,1534.0,315.0,322.0,59800.0,Sacramento
12798,2419.0,605.0,503.0,63100.0,Sacramento
12799,2436.0,612.0,618.0,81400.0,Sacramento
12800,705.0,178.0,159.0,60900.0,Sacramento
12801,3326.0,696.0,649.0,60900.0,Sacramento
12802,1591.0,466.0,418.0,70100.0,Sacramento
12803,2324.0,413.0,375.0,158900.0,Sacramento
12804,1758.0,511.0,484.0,70000.0,Sacramento
12805,1111.0,269.0,290.0,66300.0,Sacramento
12806,1978.0,538.0,490.0,135600.0,Sacramento
12807,438.0,116.0,100.0,67500.0,Sacramento
12808,2197.0,520.0,483.0,69300.0,Sacramento
12809,1072.0,,281.0,65800.0,Sacramento
12810,1372.0,360.0,328.0,67500.0,Sacramento
12811,1269.0,233.0,231.0,331300.0,Sacramento
12812,8149.0,1913.0,1616.0,178800.0,Sacramento


12815,1395.0,373.0,322.0,225000.0,Sacramento
12816,693.0,143.0,151.0,117000.0,Sacramento

12818,4391.0,974.0,914.0,105300.0,Sacramento
12819,7709.0,1279.0,1262.0,96600.0,Sacramento
12820,1511.0,315.0,304.0,89400.0,Sacramento
12840,1814.0,367.0,372.0,81100.0,Sacramento
12841,3438.0,603.0,554.0,120500.0,Sacramento
12880,1503.0,282.0,229.0,99300.0,Sacramento
13132,10505.0,1777.0,1694.0,121200.0,Sacramento
13133,5665.0,1507.0,1299.0,97800.0,Sacramento
13134,1378.0,235.0,262.0,100300.0,Sacramento
13135,1787.0,291.0,301.0,96200.0,Sacramento
13136,1215.0,223.0,233.0,95900.0,Sacramento
13137,5666.0,1178.0,1131.0,108900.0,Sacramento
13138,4446.0,897.0,884.0,103600.0,Sacramento
15614,1178.0,545.0,441.0,500001.0,San Francisco
15615,3991.0,1311.0,1201.0,500001.0,San Francisco
15616,1314.0,317.0,250.0,500001.0,San Francisco
15617,2852.0,581.0,510.0,500001.0,San Francisco
15618,4985.0,1355.0,1255.0,500001.0,San Francisco
15619,2494.0,731.0,712.0,500001.0,San Francisco
15620,741.0,170.0,165.0,500001.0,San Francisco
15621,2583.0,672.0,613.0,500001.0,San Francisco
15622,2618.0,611.0,559.0,350000.0,San Francisco
15623,3278.0,775.0,709.0,500001.0,San Francisco
15624,812.0,252.0,247.0,500001.0,San Francisco
15625,4088.0,946.0,863.0,433300.0,San Francisco
15626,1288.0,309.0,272.0,500001.0,San Francisco
15627,1860.0,575.0,448.0,500001.0,San Francisco
15628,2094.0,568.0,503.0,412500.0,San Francisco
15629,1349.0,349.0,334.0,250000.0,San Francisco
15630,2450.0,741.0,664.0,375000.0,San Francisco
15631,1642.0,570.0,513.0,300000.0,San Francisco
15632,1394.0,395.0,400.0,168800.0,San Francisco
15633,1724.0,416.0,395.0,400000.0,San Francisco
15634,1866.0,748.0,710.0,243800.0,San Francisco
15635,1821.0,738.0,684.0,450000.0,San Francisco
15636,3697.0,837.0,711.0,500001.0,San Francisco
15637,2892.0,751.0,733.0,350000.0,San Francisco
15638,3598.0,1011.0,966.0,380000.0,San Francisco
15639,2797.0,685.0,651.0,500001.0,San Francisco
15640,3823.0,1040.0,977.0,450000.0,San Francisco
15641,3321.0,1115.0,1034.0,458300.0,San Francisco
15642,1777.0,486.0,427.0,420000.0,San Francisco
15643,3067.0,870.0,850.0,287500.0,San Francisco
15644,3457.0,1021.0,994.0,225000.0,San Francisco
15645,3364.0,1100.0,1045.0,400000.0,San Francisco
15646,3511.0,1232.0,1131.0,275000.0,San Francisco
15647,2909.0,851.0,830.0,500001.0,San Francisco
15648,3302.0,869.0,727.0,500001.0,San Francisco
15649,2161.0,544.0,431.0,350000.0,San Francisco
15650,1999.0,642.0,620.0,225000.0,San Francisco
15651,2302.0,938.0,861.0,55000.0,San Francisco
15652,3260.0,1535.0,1457.0,500001.0,San Francisco
15653,4561.0,1474.0,1169.0,500001.0,San Francisco
15654,1185.0,660.0,623.0,450000.0,San Francisco
15655,1436.0,738.0,662.0,237500.0,San Francisco
15656,3610.0,1286.0,1047.0,500001.0,San Francisco
15657,6016.0,2509.0,2119.0,275000.0,San Francisco
15658,2737.0,1241.0,1029.0,225000.0,San Francisco
15659,5783.0,2747.0,2538.0,225000.0,San Francisco
15660,812.0,507.0,445.0,500001.0,San Francisco
15661,1728.0,884.0,752.0,500001.0,San Francisco
15662,3275.0,837.0,725.0,500001.0,San Francisco
15663,3830.0,,963.0,500001.0,San Francisco
15664,1724.0,412.0,319.0,500001.0,San Francisco
15665,4309.0,942.0,798.0,500001.0,San Francisco
15666,1375.0,322.0,184.0,500001.0,San Francisco
15667,2869.0,594.0,335.0,500001.0,San Francisco
15668,3257.0,735.0,620.0,500001.0,San Francisco
15669,1580.0,470.0,448.0,500001.0,San Francisco
15670,1006.0,291.0,257.0,500000.0,San Francisco
15671,3149.0,719.0,658.0,500001.0,San Francisco
15672,3161.0,472.0,410.0,500001.0,San Francisco
15673,2865.0,593.0,577.0,500001.0,San Francisco
15674,1603.0,487.0,464.0,500001.0,San Francisco
15675,3172.0,848.0,806.0,466700.0,San Francisco
15676,2788.0,813.0,764.0,400000.0,San Francisco
15677,2994.0,821.0,779.0,500000.0,San Francisco
15678,1976.0,726.0,669.0,475000.0,San Francisco
15679,1006.0,251.0,233.0,500000.0,San Francisco
15680,1380.0,322.0,288.0,500001.0,San Francisco
15681,2657.0,772.0,685.0,500001.0,San Francisco
15682,2696.0,572.0,552.0,500000.0,San Francisco
15683,2520.0,649.0,607.0,500001.0,San Francisco
15684,2802.0,622.0,572.0,500001.0,San Francisco
15685,4079.0,1112.0,1024.0,500001.0,San Francisco
15686,4506.0,1342.0,1239.0,500001.0,San Francisco
15687,3565.0,892.0,852.0,500001.0,San Francisco
15688,3486.0,847.0,813.0,500001.0,San Francisco
15689,6186.0,1566.0,1374.0,500001.0,San Francisco
15690,1979.0,359.0,370.0,500001.0,San Francisco
15691,1335.0,151.0,157.0,500001.0,San Francisco
15692,2045.0,353.0,327.0,500001.0,San Francisco
15693,1447.0,186.0,181.0,500001.0,San Francisco
15694,2196.0,280.0,291.0,500001.0,San Francisco
15695,3069.0,579.0,536.0,500001.0,San Francisco
15696,1734.0,482.0,429.0,425000.0,San Francisco
15697,1457.0,215.0,208.0,500001.0,San Francisco
15698,899.0,96.0,110.0,500001.0,San Francisco
15699,2106.0,373.0,348.0,500001.0,San Francisco
15700,1817.0,535.0,487.0,500001.0,San Francisco
15701,3640.0,840.0,796.0,500001.0,San Francisco
15702,3785.0,808.0,799.0,500001.0,San Francisco
15703,3522.0,938.0,887.0,500001.0,San Francisco
15704,3219.0,969.0,830.0,500001.0,San Francisco
15705,2511.0,895.0,804.0,87500.0,San Francisco
15706,670.0,301.0,284.0,117500.0,San Francisco
15707,3312.0,1095.0,997.0,500001.0,San Francisco
15708,3020.0,842.0,769.0,500001.0,San Francisco
15709,1637.0,394.0,379.0,460000.0,San Francisco
15710,1903.0,461.0,433.0,500001.0,San Francisco
15711,2083.0,491.0,483.0,468800.0,San Francisco
15712,1726.0,384.0,356.0,500000.0,San Francisco
15713,2695.0,657.0,573.0,372200.0,San Francisco
15714,2747.0,699.0,693.0,333300.0,San Francisco
15715,2009.0,464.0,453.0,500001.0,San Francisco
15716,3975.0,716.0,691.0,500001.0,San Francisco
15717,2459.0,1001.0,957.0,450000.0,San Francisco
15718,2380.0,843.0,789.0,220000.0,San Francisco
15719,1181.0,310.0,281.0,237500.0,San Francisco
15720,1345.0,291.0,294.0,494400.0,San Francisco
15721,2686.0,606.0,578.0,355300.0,San Francisco
15722,1682.0,379.0,375.0,400000.0,San Francisco
15723,1235.0,314.0,297.0,492300.0,San Francisco
15724,3510.0,791.0,657.0,280000.0,San Francisco
15725,1545.0,334.0,326.0,412500.0,San Francisco
15726,1452.0,397.0,393.0,322700.0,San Francisco
15727,1013.0,194.0,205.0,428300.0,San Francisco
15728,2033.0,438.0,418.0,418400.0,San Francisco
15729,883.0,236.0,219.0,146900.0,San Francisco
15730,2246.0,587.0,546.0,350000.0,San Francisco
15731,3017.0,851.0,800.0,471400.0,San Francisco
15732,2747.0,736.0,653.0,341700.0,San Francisco
15733,1118.0,279.0,284.0,346200.0,San Francisco
15734,1364.0,386.0,379.0,293800.0,San Francisco
15735,3587.0,1034.0,936.0,287500.0,San Francisco
15736,1205.0,468.0,363.0,275000.0,San Francisco
15737,4065.0,1645.0,1470.0,187500.0,San Francisco
15738,1257.0,339.0,384.0,72500.0,San Francisco
15739,2728.0,908.0,893.0,115000.0,San Francisco
15740,2037.0,696.0,585.0,112500.0,San Francisco
15741,989.0,425.0,341.0,275000.0,San Francisco
15742,1254.0,469.0,456.0,187500.0,San Francisco
15743,1310.0,364.0,379.0,177500.0,San Francisco
15744,1952.0,628.0,576.0,316700.0,San Francisco
15745,4014.0,1069.0,927.0,442900.0,San Francisco
15746,3944.0,1072.0,973.0,425000.0,San Francisco
15747,2911.0,753.0,676.0,475000.0,San Francisco
15748,2705.0,647.0,628.0,364300.0,San Francisco
15749,2339.0,548.0,507.0,350000.0,San Francisco
15750,3188.0,708.0,664.0,500001.0,San Francisco
15751,1722.0,465.0,437.0,500001.0,San Francisco
15752,3475.0,807.0,777.0,500001.0,San Francisco
15753,2296.0,509.0,472.0,500000.0,San Francisco
15754,2191.0,627.0,585.0,500000.0,San Francisco
15755,2645.0,626.0,553.0,492900.0,San Francisco
15756,3563.0,832.0,787.0,335700.0,San Francisco
15757,1760.0,366.0,318.0,400000.0,San Francisco
15758,2002.0,520.0,501.0,488900.0,San Francisco
15759,2994.0,736.0,700.0,438900.0,San Francisco
15760,1086.0,349.0,361.0,250000.0,San Francisco
15761,1925.0,568.0,515.0,450000.0,San Francisco
15762,1567.0,482.0,425.0,366700.0,San Francisco
15763,2514.0,729.0,597.0,412500.0,San Francisco
15764,2416.0,620.0,591.0,337500.0,San Francisco
15765,1862.0,472.0,471.0,222700.0,San Francisco
15766,4397.0,1116.0,1053.0,354500.0,San Francisco
15767,2685.0,629.0,614.0,418800.0,San Francisco
15768,2537.0,559.0,530.0,476900.0,San Francisco
15769,5604.0,1268.0,1196.0,400000.0,San Francisco
15770,2202.0,452.0,435.0,455900.0,San Francisco
15771,3225.0,667.0,619.0,500001.0,San Francisco
